Rollino Affineur,"Schärdinger, Landfrischmolkerei Wels",65%,Frisch / Weich,"Frischrahmige Frischkäsespezialität, spiralförmig mit feinen Kräutern durchzogen","Frisch, rahmig, mild, am Gaumen zart schmelzend","<img src=""KäseÖ_Rollino Affineur.jpg"" />","- Weißbier hell
- leichte spritzige Moste (Birnenmost)","Mineralwasser
- Aromatisiertes Mineralwasser
- Apfelsaft naturtrüb
- Molkedrinks
- Grüner Tee
- Alkoholfreies Bier","Säurebetonte, leichte, trockene spritzige, junge Weine:
- Grüner Veltliner
- Riesling
- Weißburgunder
- Gelber Muskatteller
- Roséweine
- Trockener Sekt
- Champagner","Österreich, Frisch, Weich"
Ziegenkäsebällchen,Die Käsemacher NÖ,mind. 45%,Frisch,,"Zartaromatischer Ziegenfrischkäse Fein, cremig, leicht herb","<img src=""KäseÖ_Ziegenkäsebällchen.jpg"" />","leichte spritzige Moste trockener Sherry, weißer Portwein, trockener
Sekt, Champagner, Zwicklbier, Weißbier","dunkel Almdudler, Fruchtsäfte, Mineralwasser, aromatisiertes Mineralwasser, Apfelsaft naturtrüb, Milch, Molkedrinks, grüner Tee, alkoholfreies Bier","fruchtige, nicht zu körperreiche Weißweine, tanninarme Rotweine, oder auch Roséweine Grüner Veltliner, Welschriesling, Sangiovese, Chardonnay, Weißburgunder, Blauer Zweigelt rosé","Österreich, Frisch"
Schafsfrischkäse,Die Käsemacher NÖ,45%,Frisch,,"Frischkäse aus reiner Schafmilch, mild- rein, mit zart- pikantem Schafmilcharoma","<img src=""KäseÖ_Schafsfrischkäse.jpg"" />","leichte spritzige Moste trockener Sherry, weißer Portwein, trockener
Sekt, Champagner, Zwicklbier, Weißbier","dunkel Almdudler, Fruchtsäfte, Mineralwasser, aromatisiertes Mineralwasser, Apfelsaft naturtrüb, Milch, Molkedrinks, grüner Tee, alkoholfreies Bier","fruchtige, nicht zu körperreiche Weißweine, tanninarme Rotweine, oder auch Roséweine Grüner Veltliner, Welschriesling, Sangiovese, Chardonnay, Weißburgunder, Blauer Zweigelt rosé","Österreich, Frisch"
Camembert Affineur,"Steinach, Schärdinger, Steiermark",65%,Weich,"Mild-cremiger Weichkäse mit weißem Edelschimmel, rahmiggelber Teig","rahmig, mild, bis aromatisch pikant, champignonartig","<img src=""KäseÖ_Camembert Affineur.jpg"" />","Märzenbier, Pils, Zwicklbier","Milch, Apfelsaft, Mineral, Fruchtsäfte, Traubensaft, Molkedrinks Früchtetees","Vollmundige, trocken ausgebaute Weißweine, mit etwas höherem Alkoholgehalt, Veltliner, Weißburgunder, Chardonnay","Österreich, Weich"
Bio vom Berg Tiroler Brie,Milchsternkäserei Kolsaß,50%,Weich,"aus biologischer Heumilch hergestellter Weichkäse, schnittfest, in der Jugend mit leichtem Kern, mit zunehmendem Alter leicht durchgereift und cremig","mild- säuerlich, feinwürziger Camembertgeschmack","<img src=""KäseÖ_Bio vom Berg Tiroler Brie.jpg"" />","milde bis halbmilde Moste Märzenbier, Pils, Zwicklbier ","Fruchtsäfte, Mineralwasser, Traubensaft, Molkedrinks Früchtetees","bukettreiche, trockene, nicht zu säurebetonte Weißweine, tanninarme Rotweine Weiß- oder Grauburgunder, Chardonnay, Riesling Blauburgunder, Zweigelt trockener oder halbtrockener Sekt, Champagner","Österreich, Weich"
Ziegencamembert,Sennerei Zillertal,45%,Weich,cremiger Weichkäse aus 60% Ziegenmilch und 40% Kuhmilch,"elegant- würzig, zartschmelzender Teig mit zartem Ziegenmilcharoma","<img src=""KäseÖ_Ziegencamembert.jpg"" />",ollmundiges kräftiges Lagerbier,"Milch, Traubensaft, hochwertige Fruchtsäfte","Gehaltvolle, trockene Weißweine mit hohem Extragehalt: Neuburger, Riesling","Österreich, Weich"
Steirischer Weinkäse,Schärdinger Affineuer,55%,Schnitt,"Weichkäsespezialität aus der Steiermark, mit Zweigeltgeläger gereift. Typische fast schwarze Rinde mit leichtem Milchschimmelanflug","leicht säuerlich, fruchtig, ein Hauch der Zweigelttraube","<img src=""KäseÖ_Steirischer Weinkäse.jpg"" />",,"Milch, Traubensaft, hochwertige Fruchtsäfte, Molkedrinks","Fruchtige, bukettreiche Weine wie St. Laurent, Zweigelt, Veltliner Kabinett, Traubensaft","Österreich, Schnitt"
Rosso,"Steinach, Schärdinger, Steiermark",65%,Schnitt,Weichkäse mit Rotkultur- und weißem Edelschimmel,"mild- würzig, aromatisch- pikant, je nach Reifegrad","<img src=""KäseÖ_Rosso.jpg"" />","kräftige, resche Moste Lagerbier, Weizenbier hell/dunkel","Fruchtsäfte Mineralwasser, Molkedrinks","Vollmundig, gehaltvolle Weißweine- trocken mit Extraktgehalt wie Grüner Veltliner Smaragt und gehaltvolle kräftige Rotweine wie Merlot und Pinot Noir","Österreich, Schnitt"
Bio- Tiroler Gold,Milchsternkäserei Kolsaß,50%,,"Weichkäse aus thermisierter BioHeumilch, mit Rotkulturreifung und Milchschimmel, mit schmelzend cremigen Teig","leicht säuerlich, mild würzig, in der Vollreife kräftig bis leicht pikant","<img src=""KäseÖ_Bio- Tiroler Gold.jpg"" />","kräftige, resche Moste, Lagerbier, Weizenbier hell/dunkel","Fruchtsäfte, Mineralwasser Molkedrinks","trockene, gehaltvolle, kräftige Weine Weißburgunder, Traminer, Sämling, Rotkipfler, Blaufränkischer","Österreich, Hart"
St. Severin,"Steinach, Schärdinger, Steiermark",55%,Weich,"Weichkäse mit Rotkulturreifung, hergest. Aus pasteurisierter Milch.","würzig, kräftig bis aromatisch bei zunehmender Reife","<img src=""KäseÖ_St. Severin.jpg"" />",Zipfer,"Sparkling, Emotion Apfel, Milch","Vollmundige, extrareiche Weißweine wie Traminer, oder aromatischer Muskateller","Österreich, Weich"
Roter Mönch mit Birne,"Steinach, Schärdinger Steiermark",55%,Weich,Weichkäse mit Rotkulturreifung und Birnencuvée Edelbrand der Brennerei Jöbstl (STMK) veredelt,"cremig, würzig, bis kräftig- aromatisch, mit zartem Birnenaroma","<img src=""KäseÖ_Roter Mönch mit Birne.jpg"" />","Edelbrand, Lagerbier, Weizenbier","Emotion Birne- Melisse, Birnensaft","Gehaltvolle Weißweine wie Weißburgunder, Morillon, Riesling oder reife kräftige Rotweine wie Pinot Noir, Cabernet Sauvignon, Jöbstl Birnencuvée","Österreich, Weich"
